id,person,category,input_measure,input_size,output_measure,output_size
1,client1,Мужские Рубашки,Сша/Великобритания,16-16.5,Россия/Европа,41-42
2,client2,Женские Брюки/Джинсы,Италия,40,Россия,42
3,client1,Мужская Обувь,Европа,44,Россия,43
4,client1,Женские Брюки/Джинсы,Международный,L,Великобритания,12
5,client1,Мужские Рубашки,Россия/Европа,39-40,Международный,M
6,client1,Женские Футболки,Сша/Великобритания,12,Россия,46-48
7,client1,Мужские Рубашки,Сша/Великобритания,13.5-14,Россия/Европа,35-36
8,client1,Женские Платья/Блузки,Германия,40-42,Россия,46-48
9,client4,Мужская Обувь,Россия,42,Сша,10
10,client4,Женские Брюки/Джинсы,Япония,11,Россия,46
11,client4,Мужские Футболки,Россия,50-54,Сша/Великобритания,16
12,client4,Женские Брюки/Джинсы,Размер Джинсов (W),34,Россия,50
13,client4,Мужские Рубашки,Международный,XL,Россия/Европа,43-44
14,client4,Мужские Брюки/Джинсы,Размер Джинсов (W),36,Россия,52
15,client4,Женские Футболки,Европа,40-42,Россия,46-48
16,client4,Мужские Футболки,Международный,XL,Россия,54-56
17,client5,Женская Обувь,Россия,41,Великобритания,8
18,client5,Женская Обувь,Сша,8,Россия,38
19,client5,Женские Брюки/Джинсы,Япония,9,Международный,M
20,client6,Мужская Обувь,Япония,29,Россия,44
21,client6,Женские Платья/Блузки,Италия,46-48,Международный,M-L
22,client6,Мужские Брюки/Джинсы,Сша,44,Размер Джинсов (W),38
23,client7,Женские Футболки,Сша/Великобритания,12,Международный,M
24,client7,Женские Брюки/Джинсы,Япония,13,Международный,XL
25,client7,Женские Платья/Блузки,Италия,46-48,Международный,M-L
26,client7,Женская Обувь,Сша,7,Россия,37
27,client8,Мужская Обувь,Европа,40,Россия,39
28,client8,Мужская Обувь,Великобритания,8,Россия,41
29,client8,Мужская Обувь,Сша,9,Россия,41
30,client8,Мужские Футболки,Сша/Великобритания,16,Международный,L
31,client8,Мужские Брюки/Джинсы,Размер Джинсов (W),34,Международный,L
32,client8,Мужские Рубашки,Сша/Великобритания,16-16.5,Международный,L
33,client9,Женская Обувь,Длина Стопы (См),24,Россия,37
34,client9,Женская Обувь,Европа,38,Россия,37
35,client9,Женская Обувь,Великобритания,6,Россия,38
36,client9,Женская Обувь,Сша,8,Россия,38
37,client9,Женская Обувь,Япония,25.5,Россия,39
38,client9,Женские Брюки/Джинсы,Размер Джинсов (W),30,Международный,L
39,client9,Женские Платья/Блузки,Франция,42-44,Международный,M
40,client9,Женские Футболки,Сша/Великобритания,14,Международный,L
41,client9,Женские Футболки,Сша/Великобритания,12,Международный,M
42,client10,Мужская Обувь,Сша,9,Россия,41
43,client10,Мужская Обувь,Сша,10,Россия,42
44,client10,Мужские Футболки,Сша/Великобритания,14,Международный,M
45,client10,Мужские Футболки,Сша/Великобритания,16,Международный,L
46,client10,Мужские Брюки/Джинсы,Италия,46,Размер Джинсов (W),32
47,client10,Мужские Брюки/Джинсы,Обхват Бёдер (См),91-96,Международный,XL
48,client10,Мужские Рубашки,Россия/Европа,43-44,Международный,XL
49,client11,Женская Обувь,Россия,38,Длина Стопы (См),25
50,client11,Женская Обувь,Длина Стопы (См),25.5,Европа,40
51,client11,Женские Футболки,Европа,44-46,Сша/Великобритания,16
52,client11,Женские Футболки,Сша/Великобритания,14,Международный,L
53,client11,Женские Брюки/Джинсы,Великобритания,12,Размер Джинсов (W),30
54,client11,Женские Платья/Блузки,Германия,42-44,Россия,48-50
55,client11,Женские Платья/Блузки,Германия,40-42,Международный,M
56,client11,Женские Платья/Блузки,Международный,M-L,Россия,48-50
57,client12,Мужские Рубашки,Россия/Европа,37-38,Международный,S
58,client12,Мужские Рубашки,Сша/Великобритания,16-16.5,Международный,L
59,client12,Мужские Рубашки,Международный,XXXL,Россия/Европа,47-48
60,client12,Мужские Рубашки,Международный,L,Россия/Европа,41-42
61,client12,Мужские Футболки,Сша/Великобритания,14,Европа,46-48
62,client12,Мужские Брюки/Джинсы,Сша,38,Международный,M
63,client12,Мужская Обувь,Длина Стопы (См),28.5,Сша,11
64,client15,Мужские Футболки,Европа,46-48,Международный,M
65,client15,Мужские Футболки,Россия,58-60,Международный,XXXL
66,client15,Мужские Футболки,Рост (См),180-186,Международный,L
67,client15,Мужские Брюки/Джинсы,Сша,36,Международный,S
68,client15,Мужские Брюки/Джинсы,Размер Джинсов (W),34,Международный,L
69,client15,Мужские Рубашки,Сша/Великобритания,18-18.5,Россия/Европа,45-46
70,client15,Мужские Рубашки,Россия/Европа,41-42,Международный,L
71,client15,Мужская Обувь,Россия,42,Длина Стопы (См),27.5
72,client15,Мужская Обувь,Сша,15,Япония,30.5
73,client15,Мужские Футболки,Рост (См),180-186,Сша/Великобритания,16
74,client15,Мужские Рубашки,Россия/Европа,39-40,Международный,M
75,client16,Женская Обувь,Европа,38,Длина Стопы (См),24
76,client16,Женская Обувь,Длина Стопы (См),24,Сша,7
77,client16,Женская Обувь,Длина Стопы (См),24,Великобритания,5
78,client16,Женская Обувь,Великобритания,6,Сша,8
79,client16,Женские Платья/Блузки,Германия,38-40,Международный,S
80,client16,Женские Платья/Блузки,Франция,44-46,Международный,M-L
81,client16,Женские Платья/Блузки,Италия,44-46,Международный,M
82,client16,Женские Брюки/Джинсы,Размер Джинсов (W),28,Международный,M
83,client16,Женская Обувь,Великобритания,6,Длина Стопы (См),25
84,client16,Женские Футболки,Рост (См),163-168,Международный,M
85,client16,Женские Брюки/Джинсы,Размер Джинсов (W),28,Международный,M
86,client16,Женские Футболки,Европа,42-44,Россия,48-50
87,client16,Женские Брюки/Джинсы,Международный,XS,Размер Джинсов (W),24
88,client17,Мужские Рубашки,Сша/Великобритания,14.5-15,Россия/Европа,37-38
89,client17,Мужские Рубашки,Сша/Великобритания,15,Россия/Европа,39-40
90,client17,Мужские Рубашки,Сша/Великобритания,16-16.5,Россия/Европа,41-42
91,client17,Мужские Рубашки,Международный,M,Россия/Европа,39-40
92,client17,Мужские Рубашки,Международный,L,Россия/Европа,41-42
93,client17,Мужские Рубашки,Международный,XL,Россия/Европа,43-44
94,client17,Мужские Брюки/Джинсы,Сша,34,Международный,XS
95,client17,Мужские Брюки/Джинсы,Сша,40,Международный,L
96,client17,Мужские Брюки/Джинсы,Сша,42,Международный,L-XL
97,client17,Мужские Брюки/Джинсы,Франция,44,Россия,50
98,client17,Мужские Футболки,Рост (См),174-180,Международный,M
99,client17,Мужские Футболки,Рост (См),180-186,Международный,L
100,client17,Мужские Футболки,Россия,46-48,Международный,S
101,client17,Мужские Футболки,Россия,50-54,Международный,L
102,client17,Мужские Футболки,Сша/Великобритания,16,Международный,L
103,client17,Мужские Футболки,Сша/Великобритания,16,Международный,L
104,client17,Мужские Футболки,Сша/Великобритания,18,Международный,XL
105,client17,Мужская Обувь,Великобритания,9,Россия,42
106,client17,Мужская Обувь,Сша,13,Россия,45
107,client17,Мужская Обувь,Россия,43,Длина Стопы (См),28.5
108,client17,Мужская Обувь,Длина Стопы (См),28.5,Япония,28.5
109,client18,Женские Футболки,Сша/Великобритания,12,Международный,M
110,client18,Женские Футболки,Сша/Великобритания,14,Международный,L
111,client18,Женские Футболки,Сша/Великобритания,16,Международный,XL
112,client18,Женские Платья/Блузки,Франция,38-40,Германия,36-38
113,client18,Женские Платья/Блузки,Франция,40-42,Германия,38-40
114,client18,Женские Платья/Блузки,Франция,42-44,Германия,40-42
115,client18,Женские Платья/Блузки,Франция,44-46,Германия,42-44
116,client18,Женские Платья/Блузки,Франция,44-46,Международный,M-L
117,client18,Женские Платья/Блузки,Франция,42-44,Международный,M
118,client18,Женские Платья/Блузки,Франция,42-44,Международный,M
119,client18,Женские Платья/Блузки,Франция,40-42,Международный,S
120,client18,Женские Платья/Блузки,Франция,38-40,Международный,XS-S
121,client18,Женские Футболки,Рост (См),158-163,Международный,S
122,client18,Женские Футболки,Рост (См),158-163,Сша/Великобритания,10
123,client18,Женские Футболки,Рост (См),158-163,Европа,38-40
124,client18,Женские Футболки,Рост (См),158-163,Россия,44-46
125,client18,Женские Футболки,Рост (См),163-168,Россия,46-48
126,client18,Женские Футболки,Рост (См),163-168,Европа,40-42
127,client18,Женские Футболки,Рост (См),163-168,Сша/Великобритания,12
128,client18,Женские Футболки,Рост (См),163-168,Международный,M
129,client18,Женские Футболки,Россия,44-46,Европа,38-40
130,client18,Женские Футболки,Россия,44-46,Сша/Великобритания,10
131,client18,Женские Футболки,Россия,44-46,Международный,S
132,client18,Женские Футболки,Россия,44-46,Рост (См),158-163
133,client18,Женские Футболки,Россия,46-48,Рост (См),163-168
134,client18,Женские Футболки,Россия,46-48,Международный,M
135,client18,Женские Футболки,Россия,46-48,Сша/Великобритания,12
136,client18,Женские Футболки,Россия,46-48,Европа,40-42
137,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Россия,46
138,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Италия,44
139,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Франция,40
140,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Великобритания,12
141,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Сша,8
142,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Япония,11
143,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Международный,L
144,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Обхват Бёдер (См),"98,5"
145,client18,Женские Брюки/Джинсы,Размер Джинсов (W),30,Обхват Талии (См),73
146,client19,Мужская Обувь,Россия,38,Европа,39
147,client19,Мужская Обувь,Россия,38,Великобритания,5.5
148,client19,Мужская Обувь,Россия,38,Сша,6
149,client19,Мужская Обувь,Россия,38,Япония,25
150,client19,Мужская Обувь,Россия,38,Длина Стопы (См),25
151,client19,Мужская Обувь,Россия,39,Длина Стопы (См),25.5
152,client19,Мужская Обувь,Россия,39,Япония,25.5
153,client19,Мужская Обувь,Россия,39,Сша,7
154,client19,Мужская Обувь,Россия,39,Великобритания,6.5
155,client19,Мужская Обувь,Россия,39,Европа,40
156,client19,Мужская Обувь,Россия,39,Россия,39
157,client19,Мужская Обувь,Россия,40,Европа,41
158,client19,Мужская Обувь,Россия,40,Великобритания,7
159,client19,Мужская Обувь,Россия,40,Сша,8
160,client19,Мужская Обувь,Россия,40,Япония,26.5
161,client19,Мужская Обувь,Россия,40,Длина Стопы (См),26.5
162,client19,Мужская Обувь,Россия,41,Длина Стопы (См),27
163,client19,Мужская Обувь,Россия,41,Япония,27
164,client19,Мужская Обувь,Россия,41,Сша,9
165,client19,Мужская Обувь,Россия,41,Великобритания,8
166,client19,Мужская Обувь,Россия,41,Европа,42
167,client19,Мужская Обувь,Россия,42,Европа,43
168,client19,Мужская Обувь,Россия,42,Великобритания,9
169,client19,Мужская Обувь,Россия,42,Сша,10
170,client19,Мужская Обувь,Россия,42,Япония,27.5
171,client19,Мужская Обувь,Россия,42,Длина Стопы (См),27.5
172,client19,Мужская Обувь,Россия,43,Длина Стопы (См),28.5
173,client19,Мужская Обувь,Россия,43,Япония,28.5
174,client19,Мужская Обувь,Россия,43,Сша,11
175,client19,Мужская Обувь,Россия,43,Великобритания,9.5
176,client19,Мужская Обувь,Россия,43,Европа,44
177,client19,Мужская Обувь,Россия,44,Европа,45
178,client19,Мужская Обувь,Россия,44,Великобритания,10.5
179,client19,Мужская Обувь,Россия,44,Сша,12
180,client19,Мужская Обувь,Россия,44,Япония,29
181,client19,Мужская Обувь,Россия,44,Длина Стопы (См),29
182,client19,Мужская Обувь,Россия,45,Длина Стопы (См),29.5
183,client19,Мужская Обувь,Россия,45,Япония,29.5
184,client19,Мужская Обувь,Россия,45,Сша,13
185,client19,Мужская Обувь,Россия,45,Великобритания,11
186,client19,Мужская Обувь,Россия,45,Европа,46
187,client19,Мужская Обувь,Россия,46,Европа,47
188,client19,Мужская Обувь,Россия,46,Великобритания,12
189,client19,Мужская Обувь,Россия,46,Сша,14
190,client19,Мужская Обувь,Россия,46,Япония,30
191,client19,Мужская Обувь,Россия,46,Длина Стопы (См),30
192,client19,Мужская Обувь,Россия,47,Длина Стопы (См),30.5
193,client19,Мужская Обувь,Россия,47,Япония,30.5
194,client19,Мужская Обувь,Россия,47,Сша,15
195,client19,Мужская Обувь,Россия,47,Великобритания,13
196,client19,Мужская Обувь,Россия,47,Европа,48
197,client19,Мужская Обувь,Россия,48,Европа,49
198,client19,Мужская Обувь,Россия,48,Великобритания,13.5
199,client19,Мужская Обувь,Россия,48,Сша,16
200,client19,Мужская Обувь,Россия,48,Япония,31
201,client19,Мужская Обувь,Россия,48,Длина Стопы (См),31
202,client19,Мужская Обувь,Россия,49,Длина Стопы (См),31.5
203,client19,Мужская Обувь,Россия,49,Япония,31.5
204,client19,Мужская Обувь,Россия,49,Сша,17
205,client19,Мужская Обувь,Россия,49,Великобритания,14
206,client19,Мужская Обувь,Россия,49,Европа,50
207,client19,Мужская Обувь,Россия,50,Европа,51
208,client19,Мужская Обувь,Россия,50,Великобритания,15
209,client19,Мужская Обувь,Россия,50,Сша,18
210,client19,Мужская Обувь,Россия,50,Япония,32
211,client19,Мужская Обувь,Россия,50,Длина Стопы (См),32
212,client20,Женская Обувь,Европа,36,Россия,35
213,client20,Женская Обувь,Россия,35,Европа,36
214,client20,Женская Обувь,Россия,35,Великобритания,3.5
215,client20,Женская Обувь,Россия,35,Сша,5
216,client20,Женская Обувь,Россия,35,Япония,22.5
217,client20,Женская Обувь,Россия,35,Длина Стопы (См),22.5
218,client20,Женская Обувь,Россия,36,Длина Стопы (См),23
219,client20,Женская Обувь,Россия,36,Япония,23
220,client20,Женская Обувь,Россия,36,Сша,6
221,client20,Женская Обувь,Россия,36,Великобритания,4
222,client20,Женская Обувь,Россия,36,Европа,37
223,client20,Женская Обувь,Россия,37,Европа,38
224,client20,Женская Обувь,Россия,37,Великобритания,5
225,client20,Женская Обувь,Россия,37,Сша,7
226,client20,Женская Обувь,Россия,37,Япония,24
227,client20,Женская Обувь,Россия,37,Длина Стопы (См),24
228,client20,Женская Обувь,Россия,38,Длина Стопы (См),25
229,client20,Женская Обувь,Россия,38,Длина Стопы (См),25
230,client20,Женская Обувь,Россия,38,Япония,25
231,client20,Женская Обувь,Россия,38,Сша,8
232,client20,Женская Обувь,Россия,38,Великобритания,6
233,client20,Женская Обувь,Россия,38,Европа,39
234,client20,Женская Обувь,Россия,39,Европа,40
235,client20,Женская Обувь,Россия,39,Великобритания,6.5
236,client20,Женская Обувь,Россия,39,Сша,9
237,client20,Женская Обувь,Россия,39,Япония,25.5
238,client20,Женская Обувь,Россия,39,Длина Стопы (См),25.5
239,client20,Женская Обувь,Россия,40,Длина Стопы (См),26.5
240,client20,Женская Обувь,Россия,40,Япония,26.5
241,client20,Женская Обувь,Россия,40,Сша,10
242,client20,Женская Обувь,Россия,40,Великобритания,7.5
243,client20,Женская Обувь,Россия,40,Европа,41
244,client20,Женская Обувь,Россия,41,Европа,42
245,client20,Женская Обувь,Россия,41,Великобритания,8
246,client20,Женская Обувь,Россия,41,Сша,11
247,client20,Женская Обувь,Россия,41,Япония,27
248,client20,Женская Обувь,Россия,41,Длина Стопы (См),27
249,client20,Женская Обувь,Россия,42,Длина Стопы (См),27.5
250,client20,Женская Обувь,Россия,42,Япония,27.5
251,client20,Женская Обувь,Россия,42,Сша,12
252,client20,Женская Обувь,Россия,42,Великобритания,9
253,client20,Женская Обувь,Россия,42,Европа,43
254,client20,Женская Обувь,Россия,43,Европа,44
255,client20,Женская Обувь,Россия,43,Великобритания,9.5
256,client20,Женская Обувь,Россия,43,Сша,13
257,client20,Женская Обувь,Россия,43,Япония,28.5
258,client20,Женская Обувь,Россия,43,Длина Стопы (См),28.5
259,client20,Женская Обувь,Россия,44,Длина Стопы (См),29
260,client20,Женская Обувь,Россия,44,Япония,29
261,client20,Женская Обувь,Россия,44,Сша,14
262,client20,Женская Обувь,Россия,44,Великобритания,10.5
263,client20,Женская Обувь,Россия,44,Европа,45
264,client21,Женские Футболки,Россия,40-42,Европа,34-36
265,client21,Женские Футболки,Россия,40-42,Сша/Великобритания,6
266,client21,Женские Футболки,Россия,40-42,Международный,XXS
267,client21,Женские Футболки,Россия,40-42,Рост (См),148-153
268,client21,Женские Футболки,Россия,42-44,Рост (См),153-158
269,client21,Женские Футболки,Россия,42-44,Международный,XS
270,client21,Женские Футболки,Россия,42-44,Сша/Великобритания,8
271,client21,Женские Футболки,Россия,42-44,Европа,36-38
272,client21,Женские Футболки,Россия,44-46,Европа,38-40
273,client21,Женские Футболки,Россия,44-46,Сша/Великобритания,10
274,client21,Женские Футболки,Россия,44-46,Международный,S
275,client21,Женские Футболки,Россия,44-46,Рост (См),158-163
276,client21,Женские Футболки,Россия,46-48,Рост (См),163-168
277,client21,Женские Футболки,Россия,46-48,Международный,M
278,client21,Женские Футболки,Россия,46-48,Сша/Великобритания,12
279,client21,Женские Футболки,Россия,46-48,Европа,40-42
280,client21,Женские Футболки,Россия,48-50,Европа,42-44
281,client21,Женские Футболки,Россия,48-50,Сша/Великобритания,14
282,client21,Женские Футболки,Россия,48-50,Международный,L
283,client21,Женские Футболки,Россия,48-50,Рост (См),168-173
284,client21,Женские Футболки,Россия,50-52,Рост (См),173-178
285,client21,Женские Футболки,Россия,50-52,Международный,XL
286,client21,Женские Футболки,Россия,50-52,Сша/Великобритания,16
287,client21,Женские Футболки,Россия,50-52,Европа,44-46
288,client21,Женские Футболки,Россия,52-54,Европа,46-48
289,client21,Женские Футболки,Россия,52-54,Сша/Великобритания,18
290,client21,Женские Футболки,Россия,52-54,Международный,XXL
291,client21,Женские Футболки,Россия,52-54,Рост (См),178-183
292,client21,Женские Футболки,Россия,54-56,Рост (См),183-188
293,client21,Женские Футболки,Россия,54-56,Международный,XXXL
294,client21,Женские Футболки,Россия,54-56,Сша/Великобритания,20
295,client21,Женские Футболки,Россия,54-56,Европа,48-50
296,client21,Мужские Футболки,Россия,42-44,Европа,40-42
297,client21,Мужские Футболки,Россия,42-44,Сша/Великобритания,8
